"author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Florus, Lucius Annaeus","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","1.0","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","0.9999773502349854"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Burchard, Johann Friedrich Wilhelm,","","","0.0","{'authorized_name': 'burchard, von reichenau', 'author_id': 'A4975'}","0.6860467195510864"
"Vater, Johann Severin, 1771-1826","","","0.0","{'authorized_name': 'pufendorf, samuel, freiherr von, 1632-1694', 'author_id': 'A3714'}","0.21393349766731262"
"Henrichsen, Rudolf Johann Frederik, 1800-1871.","","","0.0","{'authorized_name': 'schmidt, wilhelm, 1862-1905', 'author_id': 'A6277'}","0.4935770332813263"
"Lauer, Julius Franz, 1819-1850.","","","0.0","{'authorized_name': 'frey, joseph, 1834-1910', 'author_id': 'A6205'}","0.5303611159324646"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Groke, Th. Wilhelm.","","","0.0","{'authorized_name': 'gemoll, wilhelm, 1850-1934', 'author_id': 'A5660'}","0.8454634547233582"
"Butler, Samuel, 1774-1839","","","0.0","{'authorized_name': 'cowley, abraham, 1618-1667', 'author_id': 'A4034'}","0.2432381957769394"
"Katrares, Johannes, 14th cent.","","","0.0","{'authorized_name': 'john, canonicus, active 14th century', 'author_id': 'A3706'}","0.11498986184597015"
"Augustine, of Hippo, Saint, 354-430.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","1.0","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","0.9999635219573975"
"Caesar, Julius","","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","1.0","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999862909317017"
"Caesar, Julius","","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","1.0","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999862909317017"
"Catullus, Gaius Valerius","","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9565217391304348","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999933242797852"
"Catullus, Gaius Valerius","","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9565217391304348","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999933242797852"
"Catullus, Gaius Valerius","","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9565217391304348","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999933242797852"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
